procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 874448  40716 500156    0    0     6   528   13   16  6  1 91  0  2
 0  0      0 874448  40720 500180    0    0     0    42  432  717  8  0 91  0  0
 0  0      0 838412  40724 500208    0    0     0    21  852 1392 18  1 81  0  0
 1  0      0 796360  40732 500244    0    0     0   469  974 1510 24  2 74  0  0
 0  0      0 750136  40736 500304    0    0     0    34 1441 2309 30  2 67  0  0
 1  0      0 746780  40740 500352    0    0     0    30 1322 2185 23  1 75  0  0
 1  0      0 744096  40744 500412    0    0     0    31 1503 2483 28  2 70  0  1
 1  0      0 742108  40752 500464    0    0     0    32 1370 2262 24  2 74  0  0
 0  0      0 741632  40752 500528    0    0     0    30 1505 2483 26  1 72  0  0
 1  0      0 719056  40752 500572    0    0     0    88 1333 2114 28  1 63  0  8
 0  0      0 708656  40756 500628    0    0     0   145 1316 2162 33  2 62  0  3
 1  0      0 708972  40760 500684    0    0     0    47 1385 2285 26  2 72  0  1
 2  0      0 833088  40760 500864    0    0     0    45 1396 2145 34  2 64  0  1
 0  0      0 746680  40760 500924    0    0     0    41 1411 2309 26  2 71  0  0
 0  0      0 745956  40764 500968    0    0     0   210 1490 2469 26  1 73  0  0
 0  0      0 743968  40764 501036    0    0     0    42 1395 2304 24  1 75  0  0
 0  0      0 742400  40764 501076    0    0     0    29 1323 2181 24  1 75  0  0
 1  0      0 740160  40768 501120    0    0     0    30 1018 1675 19  1 80  0  0
 0  0      0 740160  40772 501148    0    0     0    22  445  712  8  1 91  0  0
