procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 784992  39128 464480    0    0     6   532   16   18  6  1 91  0  2
 0  0      0 784544  39136 469856    0    0     0    41  435  404  3  1 97  0  0
 2  0      0 774912  39136 477896    0    0     0   288  674  573  4  0 95  0  0
 0  0      0 771284  39140 492644    0    0     0    24 1081  807  8  1 91  0  0
 0  0      0 749808  39148 512752    0    0     0    31 1546 1046 10  2 88  0  0
 0  0      0 726664  39148 532984    0    0     0    93 1476 1034 10  1 88  0  0
 1  0      0 704824  39156 551748    0    0     0   126 1396 1062  9  2 89  0  0
 0  0      0 682144  39160 571856    0    0     0   304 1484 1040 10  2 88  0  1
 0  0      0 659572  39168 591968    0    0     0 21852 1598 1217 10  2 86  1  1
 0  0      0 637580  39172 611992    0    0     0    35 1486 1031 10  2 88  0  0
 0  0      0 618680  39176 630840    0    0     0    37 1446 1020 11  2 77  0 10
 0  0      0 598724  39176 650868    0    0     0    32 1480 1017 10  2 87  0  0
 1  0      0 579948  39176 669716    0    0     0    37 1442 1008  9  2 89  0  0
 0  0      0 558444  39180 689824    0    0     0 19234 1634 1120  9  2 88  1  0
 0  0      0 538620  39188 709848    0    0     0  2458 1502 1082 10  2 88  0  1
 0  0      0 518244  39188 730036    0    0     0    34 1483 1073 10  2 88  0  1
 1  0      0 498564  39192 748936    0    0     0    37 1469 1088  9  2 89  0  0
 2  0      0 483552  39200 763676    0    0     0    34 1036  749  7  1 92  0  0
 0  0      0 474692  39208 773060    0    0     0    26  637  508  5  1 94  0  0
