procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 427844   2168 314380    0    0     3    11  276  347  1  0 99  0  0
 0  0      0 421040   2168 314388    0    0     0     2  367  577  1  0 98  0  0
 0  0      0 420536   2168 314388    0    0     0     1  359  642  0  0 100  0  0
 0  0      0 420284   2168 314388    0    0     0     2  385  673  0  0 99  0  0
 0  0      0 420284   2168 314388    0    0     0     1  461  805  0  0 99  0  0
 0  0      0 420284   2168 314388    0    0     0    18  456  797  0  0 99  0  0
 0  0      0 420284   2168 314392    0    0     0     3  433  758  1  0 99  0  1
 0  0      0 420032   2168 314392    0    0     0     2  493  868  1  0 99  0  0
 0  0      0 420032   2168 314392    0    0     0     1  502  885  0  0 100  0  0
 0  0      0 416016   2168 314400    0    0     0     2  565  992  1  1 99  0  0
 0  0      0 415408   2168 314944    0    0   114     2  515  909  0  0 99  0  0
 0  0      0 415344   2168 314996    0    0     0    10  521  918  0  0 99  0  0
 0  0      0 415344   2168 314996    0    0     0     4  503  889  0  0 99  0  0
 0  0      0 415344   2168 315000    0    0     0     1  521  920  0  0 99  0  0
 0  0      0 415344   2168 315000    0    0     0     2  517  908  0  0 100  0  0
 1  0      0 415344   2168 315000    0    0     0   522  556 1014  0  0 99  0  0
 0  0      0 415344   2168 315000    0    0     0     2  494  877  0  0 99  0  0
 0  0      0 415344   2168 315000    0    0     0    29  436  766  0  0 99  0  0
 0  0      0 415344   2168 315000    0    0     0     1  304  553  0  0 100  0  0
