procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 439936   2168 312060    0    0     3    11  275  341  1  0 99  0  0
 0  0      0 428344   2168 312064    0    0     0    14  445  670  1  0 98  0  0
 0  0      0 424796   2168 312064    0    0     0     1  705 1072  0  0 99  0  0
 0  0      0 422276   2168 312068    0    0     0     0  910 1268  0  1 98  0  1
 0  0      0 417228   2168 312068    0    0     0     4 1213 1488  1  1 98  0  0
 0  0      0 414456   2168 312068    0    0     0     1 1111 1491  1  1 98  0  1
 0  0      0 413952   2168 312068    0    0     0     1 1098 1497  0  1 98  0  0
 0  0      0 412440   2168 312068    0    0     0    34 1066 1430  1  1 98  0  0
 0  0      0 410172   2168 312068    0    0     0     1 1031 1389  1  0 98  0  0
 0  0      0 409864   2168 312068    0    0     0     0 1034 1411  0  1 98  0  1
 0  0      0 409612   2168 312072    0    0     0     2 1032 1478  1  1 97  0  1
 0  0      0 409360   2168 312072    0    0     0     2 1061 1426  1  0 98  0  1
 0  0      0 408616   2168 312080    0    0     0     1 1194 1604  1  1 97  0  0
 0  0      0 408616   2168 312080    0    0     0     5 1155 1573  1  0 99  0  0
 0  0      0 408268   2168 312080    0    0     0     3 1192 1576  1  0 99  0  0
 0  0      0 408268   2168 312080    0    0     0     0 1086 1460  1  1 98  0  0
 0  0      0 406252   2168 312080    0    0     0     1 1163 1506  1  1 98  0  0
 0  0      0 406252   2168 312080    0    0     0     3  832 1211  1  0 99  0  0
 0  0      0 406252   2168 312084    0    0     0   356  462  732  1  0 99  0  0
