procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 348796  71948 1038924    0    0     2    11    7    4  6  1 92  0  1
 0  0      0 348796  71948 1038904    0    0     0    16  331  557  4  0 95  0  0
 0  0      0 348796  71948 1038904    0    0     0     6  569  938  8  1 91  0  0
 0  0      0 348796  71948 1038912    0    0     0     6  632 1050  9  1 90  0  0
 0  0      0 348796  71948 1038912    0    0     0   229  986 1631 15  1 83  0  1
 0  0      0 348796  71948 1038920    0    0     0     6 1034 1734 15  1 82  0  1
 0  0      0 348796  71948 1038920    0    0     0    10 1025 1700 16  1 80  0  2
 1  0      0 348796  71948 1038928    0    0     0   205  957 1600 14  1 83  0  1
 1  0      0 348796  71948 1038932    0    0     0     6  896 1494 14  1 85  0  1
 0  0      0 348796  71948 1039064    0    0     0     0  927 1519 14  1 82  0  2
 0  0      0 348796  71948 1039068    0    0     0     6  886 1422 13  1 81  0  5
 1  0      0 348796  71948 1039068    0    0     0     6 1000 1658 15  1 84  0  1
 0  0      0 348796  71948 1039076    0    0     0     9 1025 1666 15  1 83  0  1
 0  0      0 348796  71952 1039076    0    0     0    46  977 1599 15  1 84  0  1
 0  0      0 348796  71952 1039084    0    0     0    21 1001 1640 14  1 84  0  1
 0  0      0 348796  71956 1039084    0    0     0     8  978 1606 15  1 84  0  1
 0  0      0 348796  71956 1039092    0    0     0     6  886 1457 13  1 85  0  1
 0  0      0 348572  71956 1039092    0    0     0     6  660 1081  9  1 89  0  1
 0  0      0 348348  71956 1039096    0    0     0     9  320  514  4  0 95  0  1
