procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 330692  71860 1018708    0    0     2    11    7    3  6  1 93  0  1
 0  0      0 343460  71860 1018728    0    0     0    38  615  679 13  2 85  0  0
 0  0      0 293316  71860 1018732    0    0     0    12  898  822 24  2 73  0  1
 2  0      0 345460  71864 1018732    0    0     0    14 1714 1318 40  4 56  0  1
 1  0      0 309220  71864 1018864    0    0     0   226 2344 1978 53  4 41  0  1
 2  0      0 190688  71864 1018864    0    0     0    10 2158 1969 51  4 43  0  2
 0  0      0 185780  71864 1018872    0    0     0   192 2278 2294 54  4 40  0  2
 2  0      0 329120  71864 1018872    0    0     0    18 1889 1644 47  3 46  0  4
 2  0      0 241664  71864 1018872    0    0     0    37 1907 1802 52  3 36  0  9
 1  0      0 360820  71864 1018880    0    0     0     6 1972 1912 52  4 43  0  1
 1  0      0 340796  71864 1018880    0    0     0     6 1961 1828 47  5 48  0  1
 2  0      0 337980  71864 1018884    0    0     0    14 2121 1937 52  4 43  0  1
 2  0      0 289904  71864 1018884    0    0     0    10 1870 1549 48  4 47  0  1
 1  0      0 267392  71864 1018892    0    0     0    52 2169 2198 45  4 51  0  1
 2  0      0 261012  71864 1018892    0    0     0    10 2064 2078 48  3 48  0  1
 2  0      0 247036  71868 1018888    0    0     0    14 2202 1991 51  4 44  0  1
 2  0      0 310888  71868 1018900    0    0     0    25 1765 1704 32  3 65  0  1
 1  0      0 332436  71872 1018900    0    0     0    49 1507 1328 34  3 63  0  1
 0  0      0 295284  71872 1018900    0    0     0    11  766  814 18  2 80  0  1
