procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 599004  85576 589648    0    0     5   506   12    1  6  1 92  0  2
 0  0      0 598164  85588 590856    0    0     0   338  296  330  1  0 99  0  0
 0  0      0 597492  85596 593336    0    0     0    21  499  502  2  0 97  0  1
 0  0      0 597044  85596 597568    0    0     0    30  756  762  3  1 94  0  2
 0  0      0 596372  85600 603420    0    0     0    51 1024 1010  4  1 95  0  1
 0  0      0 593880  85604 610664    0    0     0   826 1267 1275  5  1 93  0  1
 0  0      0 590492  85604 620504    0    0     0    67 1525 1607  7  2 90  0  1
 1  0      0 588488  85604 631852    0    0     0    89 1685 1779  8  2 87  0  3
 1  0      0 583952  85604 643368    0    0     0   338 1746 1861  7  2 89  0  2
 0  0      0 573620  85604 653936    0    0     0   709 1629 1700  6  1 91  0  1
 0  0      0 562784  85604 664476    0    0     0  1158 1723 1705  6  2 92  0  0
 0  0      0 549960  85604 674804    0    0     0  1818 1713 1735  6  2 91  0  1
 1  0      0 538172  85604 686040    0    0     0  1638 1809 1850  6  3 90  0  1
 1  0      0 526132  85604 697492    0    0     0  2154 1803 1876  7  2 90  0  1
 0  0      0 514372  85604 708268    0    0     0  2489 1725 1777  7  3 85  0  6
 0  0      0 502584  85612 719232    0    0     0  2492 1791 1818  9  3 81  0  7
 1  0      0 490208  85616 730056    0    0     0  2164 1771 1838  8  2 89  0  1
 2  0      0 475340  85620 740632    0    0     0  2362 1827 1796  7  2 91  0  1
 0  0      0 463132  85620 751676    0    0     0  2878 1864 1869  7  2 90  0  1
 0  0      0 450140  85620 763736    0    0     0  2366 1994 1986  7  3 89  0  1
 0  0      0 434096  85620 778720    0    0     0  2198 2346 2381  9  3 86  0  2
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 414944  85620 795620    0    0     0  2267 2627 2671 11  3 83  0  2
 0  0      0 394364  85624 815408    0    0     0  2486 2981 3072 13  3 80  0  3
 0  0      0 371936  85624 837816    0    0     0  2641 3300 3433 15  5 76  0  4
 1  0      0 346816  85624 862316    0    0     0 14742 3692 3850 15  5 77  1  3
 1  0      0 321976  85624 887144    0    0     0  7162 3683 3787 15  4 78  0  2
 0  0      0 297976  85624 910692    0    0     0   183 3431 3545 15  4 76  0  4
 0  0      0 277456  85624 931664    0    0     0   158 3017 3120 14  4 70  0 11
 0  0      0 252060  85624 956648    0    0     0 17844 3701 3938 16  5 77  1  2
 2  0      0 228208  85624 980512    0    0     0  4077 3532 3594 15  4 78  0  3
 2  0      0 204388  85624 1004192    0    0     0   202 3445 3538 14  4 81  0  2
 1  0      0 180716  85628 1028328    0    0     0   176 3558 3573 15  5 78  0  3
 1  0      0 154724  85628 1054000    0    0     0 19143 3928 4050 16  5 76  1  2
 0  0      0 129076  85628 1079704    0    0     0  2686 3758 3812 16  5 77  0  2
 0  0      0 103680  85628 1105024    0    0     0   210 3801 3724 15  4 78  0  3
 0  0      0  89888  85544 1120160    0    0     8   191 3645 3628 16  5 74  0  5
 0  0      0  88576  85544 1145296    0    0     0   198 3752 3701 15  5 76  0  4
 0  0      0  95516  85360 1140320    0    0     0 17868 3832 3914 16  5 76  1  3
 1  0      0  97872  85156 1138084    0    0     0  4470 3254 3308 14  3 78  0  5
 0  0      0  91232  85060 1142152    0    0     0   190 2423 2502 12  4 72  0 11
 1  0      0  88420  84964 1143544    0    0     0   136 2054 2134  9  2 87  0  2
 0  0      0  93472  84864 1140468    0    0     0    98 1436 1432  6  2 92  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  89496  84868 1144192    0    0     0    62  679  690  3  1 97  0  0
