procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 263548  84448 926296    0    0     5   506    8   14  6  1 92  0  2
 0  0      0 263324  84448 926356    0    0     0   287  308  418  1  0 99  0  0
 0  0      0 263324  84452 926452    0    0     0   278  487  715  1  0 98  0  0
 0  0      0 263324  84452 926560    0    0     0    42  681 1003  2  1 97  0  0
 0  0      0 264088  84456 926872    0    0     0    53  907 1353  3  1 96  0  1
 0  0      0 264088  84456 927068    0    0     0   231 1121 1683  4  1 95  0  0
 0  0      0 264088  84460 927308    0    0     0    74 1390 2137  4  2 94  0  1
 0  0      0 264088  84460 927700    0    0     0   487 1561 2427  4  1 94  0  1
 0  0      0 263864  84464 927964    0    0     0   127 1598 2461  5  2 93  0  1
 0  0      0 263864  84464 928228    0    0     0   205 1608 2464  6  2 92  0  1
 0  0      0 263864  84464 928648    0    0     0   112 1597 2445  5  1 93  0  1
 0  0      0 263864  84468 928924    0    0     0   123 1558 2369  5  2 89  0  4
 0  0      0 263864  84472 929156    0    0     0   125 1572 2364  6  2 87  0  6
 1  0      0 263612  84472 929588    0    0     0   142 1654 2481  5  2 93  0  1
 0  0      0 263612  84472 929860    0    0     0   552 1630 2434  5  2 92  0  1
 0  0      0 263612  84472 930296    0    0     0   281 1620 2437  5  1 92  0  1
 0  0      0 263612  84472 930540    0    0     0   146 1615 2423  5  2 92  0  2
 0  0      0 263612  84472 930864    0    0     0   139 1653 2477  5  2 92  0  1
 0  0      0 263612  84476 931236    0    0     0   163 1661 2469  5  2 92  0  1
 0  0      0 263612  84476 931568    0    0     0   153 1726 2575  4  2 93  0  1
 0  0      0 263612  84476 932020    0    0     0   193 2048 3171  6  2 91  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 263612  84476 932516    0    0     0   744 2305 3629  7  3 89  0  1
 0  0      0 263612  84476 933056    0    0     0   190 2369 3758  7  2 90  0  1
 1  0      0 263612  84476 933500    0    0     0   291 2254 3550  7  2 86  0  5
 0  0      0 263388  84476 933972    0    0     0   180 2003 3162  8  2 79  0 10
 0  0      0 263388  84476 934616    0    0     0   198 2343 3778  7  2 89  0  2
 0  0      0 262940  84480 935140    0    0     0   251 2335 3780  7  2 89  0  1
 1  0      0 262940  84480 935856    0    0     0   338 2332 3753  8  2 88  0  2
 1  0      0 262716  84484 936460    0    0     0   853 2248 3595  8  3 85  0  4
 0  0      0 262268  84488 937212    0    0     0   221 2196 3505 10  3 82  0  5
 1  0      0 262268  84492 937836    0    0     0   205 2232 3554 10  3 83  0  4
 0  0      0 262044  84492 938604    0    0     0   256 2238 3583  9  3 85  0  3
 1  0      0 261820  84492 939340    0    0     0   258 2160 3437 11  3 81  0  5
 0  0      0 261820  84492 939876    0    0     0   395 2051 3274 10  3 78  0  8
 0  0      0 261372  84492 940668    0    0     0   223 2161 3442 10  4 82  0  5
 1  0      0 261372  84492 941236    0    0     0   834 2077 3270 10  3 79  0  9
 0  0      0 261372  84492 941832    0    0     0   208 1883 2951  9  3 74  0 13
 0  0      0 260672  84492 942468    0    0     0   106 2239 3577 10  3 83  0  4
 0  0      0 260196  84492 943264    0    0     0   258 2189 3495  9  4 83  0  5
 1  0      0 259748  84492 944024    0    0     0   383 2193 3495  9  3 85  0  3
 1  0      0 259524  84492 944620    0    0     0   227 1819 2798  8  3 83  0  6
 0  0      0 259300  84492 944932    0    0     0   120 1298 1944  6  2 87  0  5
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 259076  84492 945136    0    0     0   721  644  913  3  1 93  0  3
