procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 210920  87916 1288768    0    0     1     7   15   20  0  0 100  0  0
 0  0      0 211000  87916 1288784    0    0     0    15   70  125  0  0 100  0  0
 0  0      0 211000  87916 1288784    0    0     0     0   53   93  0  0 100  0  0
 0  0      0 211000  87916 1288784    0    0     0     2   57   98  0  0 100  0  0
 0  0      0 211000  87916 1288784    0    0     0   179   80  131  0  0 100  0  0
 0  0      0 211000  87916 1288784    0    0     0    22   62   99  0  0 100  0  0
 0  0      0 211000  87916 1288784    0    0     0   198   71  123  0  0 100  0  0
 0  0      0 211000  87916 1288784    0    0     0    10   57  100  0  0 100  0  0
 0  0      0 210748  87916 1288784    0    0     0     0   61  102  0  0 100  0  0
 0  0      0 210748  87916 1288784    0    0     0     4   58  101  0  0 100  0  0
 0  0      0 210748  87916 1288784    0    0     0     5   59   98  0  0 100  0  0
 0  0      0 210748  87916 1288784    0    0     0     0   59   98  0  0 100  0  0
 0  0      0 210748  87916 1288784    0    0     0     3   62  103  0  0 100  0  0
 0  0      0 210748  87916 1288784    0    0     0     7   57   97  0  0 100  0  0
 0  0      0 210748  87916 1288784    0    0     0     5   55   95  0  0 100  0  0
 0  0      0 210748  87916 1288784    0    0     0     5   62  103  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     2   63  103  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     6   60   98  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     5   54   94  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     2   58   96  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     6   69  111  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 210500  87916 1288784    0    0     0     5   61  105  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     6   62   99  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     2   58   99  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     6   66  104  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     5   58   99  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     2   53   91  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     6   63  103  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     5   64  105  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     2   61  100  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     6   55   96  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     5   60   99  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     2   67  106  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     6   61  102  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     5   54   97  0  0 100  0  0
 0  0      0 210500  87916 1288784    0    0     0     2   58   98  0  0 100  0  0
 0  0      0 210248  87916 1288784    0    0     0     6   67  103  0  0 100  0  0
 0  0      0 210248  87916 1288784    0    0     0     5   58   98  0  0 100  0  0
 0  0      0 210248  87916 1288784    0    0     0     5   55   97  0  0 100  0  0
 0  0      0 210248  87916 1288784    0    0     0     2   56   98  0  0 100  0  0
 0  0      0 210248  87916 1288784    0    0     0     6   68  108  0  0 100  0  0
 0  0      0 210248  87916 1288784    0    0     0     5   55   96  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 210248  87916 1288784    0    0     0     5   57   96  0  0 100  0  0
 0  0      0 210024  87916 1288784    0    0     0     3   61  100  0  0 100  0  0
