procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 439544   2168 320008    0    0     1    11  188   56  0  0 99  0  0
 0  0      0 422912   2168 320016    0    0     0     1  432  635  1  1 98  0  0
 0  0      0 421148   2168 320020    0    0     0     5  511  870  1  0 99  0  0
 0  0      0 419384   2168 320020    0    0     0   390  757 1319  1  0 98  0  0
 0  0      0 417872   2168 320020    0    0     0     1  874 1510  1  1 99  0  0
 0  0      0 417620   2168 320020    0    0     0     3 1043 1773  1  1 98  0  0
 0  0      0 416612   2168 320020    0    0     0     1 1220 2076  1  1 97  0  1
 0  0      0 414848   2168 320020    0    0     0     1 1229 2085  1  1 97  0  1
 0  0      0 414344   2168 320020    0    0     0     3 1248 2139  1  1 98  0  0
 0  0      0 412328   2168 320008    0    0     0    45 1255 2137  1  0 98  0  1
 0  0      0 411068   2168 320008    0    0     0     2 1294 2223  1  0 98  0  0
 0  0      0 411068   2168 320008    0    0     0     3 1278 2180  1  0 99  0  0
 0  0      0 409052   2168 320008    0    0     0     1 1318 2263  2  1 97  0  0
 0  0      0 409052   2168 320012    0    0     0     1 1257 2159  1  0 99  0  0
 0  0      0 407036   2168 320012    0    0     0     4 1280 2189  2  1 97  0  0
 0  0      0 407036   2168 320016    0    0     0     7 1292 2195  1  0 98  0  0
 0  0      0 405020   2168 320016    0    0     0     2 1308 2223  2  1 97  0  0
 0  0      0 404768   2168 320016    0    0     0     1 1301 2214  1  1 98  0  0
 0  0      0 400988   2168 320016    0    0     0     3 1275 2158  1  1 96  0  1
 0  0      0 397964   2168 320016    0    0     0     1 1456 2464  2  1 97  0  1
 0  0      0 397460   2168 320016    0    0     0     1 1635 2765  1  1 98  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 389408   2168 320016    0    0     0     9 1970 3304  2  1 96  0  1
 0  0      0 389408   2168 320020    0    0     0     2 2145 3603  2  1 97  0  1
 0  0      0 386132   2168 320020    0    0     0     2 2232 3684  3  2 95  0  1
 0  0      0 386132   2168 320020    0    0     0     3 2406 4004  3  2 95  0  1
 0  0      0 379580   2168 320020    0    0     0     1 2611 4332  4  1 95  0  1
 0  0      0 379580   2168 320020    0    0     0     1 2560 4272  2  1 96  0  1
 0  0      0 372524   2168 320020    0    0     0   377 2566 4327  2  1 96  0  1
 0  0      0 371264   2168 320020    0    0     0     1 2552 4268  3  1 94  0  1
 0  0      0 371012   2168 320024    0    0     0     1 2500 4211  2  1 96  0  1
 0  0      0 363452   2168 320024    0    0     0     2 2394 3944  3  1 91  0  4
 3  0      0 363452   2168 320024    0    0     0     3 2504 4108  2  2 95  0  1
 0  0      0 362948   2168 320024    0    0     0     1 2652 4421  3  2 94  0  1
 0  0      0 354884   2168 320024    0    0     0    27 2596 4283  4  1 95  0  1
 2  0      0 354884   2168 320024    0    0     0     3 2602 4318  3  2 95  0  1
 0  0      0 353624   2168 320024    0    0     0     1 2575 4248  3  1 95  0  1
 0  0      0 345560   2168 320028    0    0     0     4 2573 4202  3  2 94  0  1
 0  0      0 345560   2168 320028    0    0     0     1 2514 4146  2  1 95  0  1
 0  0      0 345560   2168 320028    0    0     0     1 2238 3733  2  1 97  0  0
 0  0      0 343292   2168 320028    0    0     0     3 1837 3092  2  1 97  0  0
 0  0      0 336992   2168 320028    0    0     0     3 1459 2462  2  0 97  0  0
 0  0      0 334220   2168 320028    0    0     0     1 1032 1771  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 334220   2168 320028    0    0     0     1  638 1131  0  0 99  0  0
