procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 438336   2168 322472    0    0     1    11   34  124  0  0 99  0  0
 0  0      0 421480   2168 322480    0    0     0     4  443  684  2  0 97  0  0
 0  0      0 419968   2168 322480    0    0     0    22  585  997  1  0 99  0  0
 0  0      0 418456   2168 322480    0    0     0     0  729 1239  0  0 99  0  0
 0  0      0 416692   2168 322480    0    0     0     2  871 1474  1  0 99  0  0
 0  0      0 416188   2168 322480    0    0     0     1 1087 1840  1  0 99  0  0
 0  0      0 414172   2168 322480    0    0     0     1 1205 2035  1  1 98  0  0
 0  0      0 412912   2168 322480    0    0     0     1 1310 2222  1  0 98  0  0
 0  0      0 412408   2168 322484    0    0     0    31 1267 2120  1  0 98  0  0
 0  0      0 410644   2168 322484    0    0     0     0 1278 2155  1  0 99  0  0
 0  0      0 410392   2168 322484    0    0     0     1 1247 2106  1  0 98  0  0
 0  0      0 409132   2168 322484    0    0     0     2 1287 2185  2  0 97  0  0
 0  0      0 407620   2168 322484    0    0     0     1 1263 2128  1  0 99  0  0
 0  0      0 406864   2168 322484    0    0     0     1 1231 2085  1  0 96  0  2
 0  0      0 406108   2168 322484    0    0     0     4 1252 2122  1  1 98  0  0
 0  0      0 405100   2168 322488    0    0     0     0 1315 2217  2  1 97  0  1
 0  0      0 399820   2168 322492    0    0     0     2 1348 2264  2  1 96  0  1
 0  0      0 399820   2168 322492    0    0     0     2 1299 2169  2  0 98  0  0
 0  0      0 399820   2168 322492    0    0     0     1 1268 2102  1  0 98  0  0
 3  0      0 398056   2168 322492    0    0     0     1 1413 2335  2  1 97  0  1
 0  0      0 397804   2168 322492    0    0     0     4 1586 2604  1  0 98  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 389740   2168 322492    0    0     0     2 1827 2985  2  1 96  0  1
 0  0      0 389236   2168 322496    0    0     0   378 1842 3035  2  1 96  0  1
 0  0      0 386464   2168 322496    0    0     0     2 1846 3050  1  1 97  0  1
 0  0      0 383188   2168 322496    0    0     0     1 1892 3153  2  1 97  0  0
 0  0      0 383188   2168 322496    0    0     0     1 1679 2825  1  1 97  0  2
 0  0      0 379912   2168 322496    0    0     0    26 1657 2709  2  0 97  0  1
 0  0      0 376132   2168 322496    0    0     0     2 1804 3002  3  1 96  0  1
 0  0      0 376132   2168 322496    0    0     0     1 1748 2918  2  1 96  0  0
 0  0      0 375628   2168 322500    0    0     0     2 1830 3052  1  1 98  0  0
 0  0      0 369076   2168 322500    0    0     0    98 1763 2928  2  0 97  0  0
 0  0      0 369076   2168 322500    0    0     0     2 1752 2889  2  0 97  0  1
 0  0      0 369076   2168 322500    0    0     0    13 1676 2792  1  1 98  0  0
 0  0      0 368572   2168 322500    0    0     0     0 1753 2922  1  0 98  0  0
 0  0      0 361768   2168 322500    0    0     0     3 1815 3012  2  1 96  0  0
 0  0      0 361768   2168 322504    0    0     0     1 1691 2833  1  1 98  0  1
 0  0      0 361768   2168 322504    0    0     0     2 1767 2944  1  1 98  0  0
 0  0      0 361768   2168 322504    0    0     0     1 1542 2578  2  1 96  0  1
 0  0      0 358744   2168 322504    0    0     0    14 1658 2756  1  1 98  0  1
 0  0      0 353200   2168 322504    0    0     0     0 1797 2930  2  1 96  0  0
 0  0      0 349432   2168 322536    0    0     0     5 1539 2547  2  1 96  0  0
 0  0      0 349432   2168 322536    0    0     0     1 1097 1843  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 349432   2168 322540    0    0     0     1  620 1085  0  0 99  0  0
