procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 121188  76028 1190996    0    0     2    11   14   14  6  1 93  0  1
 0  0      0 121188  76028 1191004    0    0     0   367  198  278  0  0 98  0  1
 1  0      0 121188  76028 1191100    0    0     0     0  302  430  1  0 97  0  2
 0  0      0 121188  76028 1191112    0    0     0     6  437  616  1  1 95  0  3
 0  0      0 121188  76028 1191120    0    0     0     5  484  705  1  0 96  0  2
 0  0      0 120936  76028 1191264    0    0     0    81  586  871  2  0 95  0  2
 0  0      0 120684  76028 1191276    0    0     0    10  688 1015  3  1 92  0  4
 0  0      0 120684  76028 1191300    0    0     0     5  820 1210  4  1 89  0  6
 0  0      0 120684  76028 1191536    0    0     0     6  891 1322  3  1 93  0  3
 0  0      0 120684  76028 1191560    0    0     0     5  813 1207  3  1 91  0  5
 0  0      0 120684  76028 1191704    0    0     0     5  785 1135  4  1 86  0  9
 1  0      0 120684  76028 1191724    0    0     0   134  819 1192  3  1 93  0  3
 1  0      0 120684  76028 1191740    0    0     0    18  872 1249  3  1 92  0  4
 2  0      0 120684  76028 1191896    0    0     0     5  869 1276  3  1 93  0  2
 0  0      0 120684  76028 1191912    0    0     0     6  887 1279  3  1 89  0  6
 0  0      0 120684  76028 1192056    0    0     0     5  803 1154  3  1 92  0  4
 0  0      0 120684  76028 1192156    0    0     0     5  842 1219  3  1 94  0  3
 0  0      0 120684  76028 1192180    0    0     0     5  867 1256  3  1 94  0  2
 0  0      0 120684  76028 1192324    0    0     0   154  914 1307  3  1 94  0  2
 0  0      0 120684  76028 1192340    0    0     0     6  940 1347  3  1 92  0  4
 1  0      0 120684  76028 1192504    0    0     0    10 1078 1553  4  2 89  0  5
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 120684  76028 1192536    0    0     0     5 1315 1911  5  2 89  0  5
 0  0      0 120684  76028 1192700    0    0     0     6 1354 1976  7  2 74  0 16
 0  0      0 120684  76028 1192868    0    0     0     6 1628 2414  6  2 84  0  8
 1  0      0 120684  76028 1193108    0    0     0   218 1724 2602  6  3 81  0 10
 0  0      0 120684  76028 1193352    0    0     0     5 1828 2770  7  3 82  0  9
 1  0      0 120684  76028 1193888    0    0     0     6 1830 2805  7  3 81  0  9
 0  0      0 120684  76028 1194064    0    0     0    11 1836 2783  6  2 83  0  8
 1  0      0 120684  76028 1194724    0    0     0     6 1835 2780  7  3 79  0 11
 0  0      0 120684  76028 1194904    0    0     0   276 1849 2854  7  2 83  0  7
 2  0      0 120684  76028 1195084    0    0     0     5 1777 2673  8  3 73  0 15
 0  0      0 120684  76028 1195256    0    0     0     6 1711 2592  8  3 70  0 19
 0  0      0 120684  76028 1195300    0    0     0     5 1643 2460  8  3 68  0 20
 0  0      0 120460  76028 1195468    0    0     0     6 1597 2366  8  3 67  0 22
 1  0      0 120460  76028 1195640    0    0     0     5 1577 2323  8  4 69  0 19
 1  0      0 120236  76028 1195812    0    0     0   292 1583 2324  8  3 66  0 23
 0  0      0 120236  76028 1195988    0    0     0    10 1752 2620  9  3 71  0 17
 3  0      0 120236  76028 1196200    0    0     0     5 1672 2484  8  3 71  0 18
 3  0      0 120236  76028 1196364    0    0     0     6 1466 2134  8  3 71  0 18
 3  0      0 120236  76028 1196396    0    0     0     5 1209 1783  7  2 74  0 18
 0  0      0 120236  76028 1196548    0    0     0   220  948 1335  5  2 82  0 11
 0  0      0 120236  76028 1196560    0    0     0     5  641  903  3  1 90  0  6
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 120236  76028 1196568    0    0     0     5  324  437  1  1 94  0  4
