procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 171824  69224 998180    0    0     2    11    8   17  6  1 93  0  1
 1  0      0 188520  69224 998176    0    0     0   233  719 1145 16  1 83  0  0
 1  0      0 326620  69224 998436    0    0     0    25 1542 2548 33  2 64  0  1
 1  0      0 226660  69228 998572    0    0     0     6 2204 3674 45  3 50  0  1
 0  0      0 188104  69228 998700    0    0     0   183 2043 3323 50  3 46  0  2
 0  0      0 183824  69228 998836    0    0     0    10 2368 3992 46  2 51  0  1
 4  0      0 179176  69228 998844    0    0     0     6 2314 3885 44  2 52  0  2
 1  0      0 176936  69228 998848    0    0     0    70 2147 3591 43  3 53  0  1
 0  0      0 194960  69232 998856    0    0     0    11 2138 3429 50  3 44  0  2
 2  0      0 245752  69232 998864    0    0     0    15 2195 3595 48  3 48  0  2
 1  0      0 217160  69232 998996    0    0     0     6 2144 3545 48  3 49  0  1
 1  0      0 193724  69236 999000    0    0     0     6 1976 3246 38  2 50  0 10
 0  0      0 191964  69236 999008    0    0     0     6 2319 3917 44  2 52  0  2
 2  0      0 190200  69236 999012    0    0     0     6 2295 3869 45  2 52  0  1
 0  0      0 188436  69240 999020    0    0     0    70 2241 3755 44  2 51  0  3
 1  0      0 206864  69240 999028    0    0     0     6 2090 3349 51  3 45  0  1
 0  0      0 195884  69240 999032    0    0     0     6 2048 3264 51  3 45  0  2
 2  0      0 294840  69240 999036    0    0     0    10 2078 3382 53  4 42  0  2
 2  0      0 275332  69240 999168    0    0     0     6 2234 3763 47  3 49  0  1
 1  0      0 236156  69240 999176    0    0     0     6 2229 3692 48  3 48  0  1
 1  0      0 205752  69240 999184    0    0     0    74 2315 3874 45  2 52  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 205752  69244 999188    0    0     0     6 2386 4018 45  2 52  0  1
 2  0      0 146056  69244 999196    0    0     0     6 2104 3451 48  2 48  0  1
 1  0      0 177052  69244 999200    0    0     0     6 1996 3138 40  3 47  0 10
 1  0      0 173776  69248 999204    0    0     0    10 2228 3714 42  2 51  0  4
 3  0      0 173776  69248 999212    0    0     0     6 2297 3887 43  2 53  0  2
 2  0      0 170868  69248 999348    0    0     0    70 2205 3721 44  2 53  0  1
 2  0      0 148944  69248 999352    0    0     0     6 2171 3656 48  3 48  0  1
 1  0      0 176092  69248 999360    0    0     0     6 2237 3722 47  3 49  0  1
 0  0      0 176092  69256 999368    0    0     0     6 2381 4034 44  3 52  0  2
 1  0      0 169932  69260 999368    0    0     0     6 2299 3895 44  2 52  0  1
 1  0      0 336588  69260 999376    0    0     0    73 2215 3707 45  2 51  0  2
 1  0      0 208788  69260 999384    0    0     0    45 2102 3401 51  4 44  0  2
 1  0      0 156160  69260 999404    0    0     0    10 2278 3840 44  2 52  0  2
 1  0      0 153920  69260 999540    0    0     0     6 2330 3937 44  2 52  0  2
 1  0      0 153472  69264 999544    0    0     0     6 2126 3536 40  2 51  0  7
 1  0      0 150788  69264 999548    0    0     0     6 2283 3878 44  2 53  0  1
 1  0      0 151124  69264 999508    0    0     0     6 2112 3528 43  2 52  0  2
 2  0      0 174628  69268 999512    0    0     0    70 2174 3533 50  2 46  0  1
 2  0      0 174628  69268 999648    0    0     0    10 2204 3679 44  2 51  0  2
 0  0      0 173620  69268 999656    0    0     0     6 1655 2753 32  1 66  0  1
 0  0      0 173620  69272 999656    0    0     0     6 1104 1830 21  1 78  0  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 173620  69272 999656    0    0     0     6  816 1348 15  1 84  0  1
